Time and Date,Met Wind Speed (m/s),Horizontal Wind Speed (m/s) at 179m,Horizontal Wind Speed (m/s) at 159m,Horizontal Wind Speed (m/s) at 139m,Horizontal Wind Speed (m/s) at 119m,Horizontal Wind Speed (m/s) at 99m,Horizontal Wind Speed (m/s) at 79m,Horizontal Wind Speed (m/s) at 59m,Horizontal Wind Speed (m/s) at 38m,Horizontal Wind Speed (m/s) at 29m,Horizontal Wind Speed (m/s) at 19m,Horizontal Wind Speed (m/s) at 10m
6/20/2015 0:00,1.98,10.791,10.52,10.057,9.577,9.158,8.531,7.955,5.982,5.201,4.048,3.073
6/20/2015 0:10,2.05,11.331,10.587,10.052,9.725,9.272,8.903,8.397,6.258,5.538,4.512,3.103
6/20/2015 0:20,1.971,11.968,11.166,10.357,9.778,9.107,8.853,8.489,6.252,5.351,4.371,3.142
6/20/2015 0:30,2.07,11.521,11.057,10.279,9.286,9.102,8.989,8.587,6.404,5.6,4.309,9999
6/20/2015 0:40,2.064,11.343,10.631,10.014,9.492,9.242,9.152,8.709,6.449,5.636,4.499,3.17
6/20/2015 0:50,1.939,10.775,10.298,9.878,9.522,9.431,9.612,8.667,6.604,5.645,4.696,3.256
6/20/2015 1:00,1.91,10.877,10.444,10.015,9.612,9.558,9.75,8.687,6.584,5.41,4.358,3.012
6/20/2015 1:10,1.853,11.189,10.675,10.157,9.702,9.567,9.679,8.726,6.496,5.554,4.329,2.964
6/20/2015 1:20,1.957,11.513,10.891,10.245,9.857,9.927,10.205,9.188,6.862,5.852,4.758,3.18
6/20/2015 1:30,1.869,11.125,10.744,10.408,10.206,10.126,10.317,9.268,6.651,5.911,4.624,9999
6/20/2015 1:40,1.892,10.975,10.759,10.391,10.177,10.252,10.222,9.019,6.612,5.451,4.422,9999
6/20/2015 1:50,1.983,11.206,10.89,10.509,10.401,10.53,10.396,8.986,6.5,5.367,4.156,2.799
6/20/2015 2:00,1.962,11.079,10.787,10.679,10.804,10.974,10.812,9.253,6.815,5.794,4.312,3.096
6/20/2015 2:10,1.965,11.508,11.327,11.314,11.47,11.588,11.276,9.64,7.159,6.217,4.943,3.483
6/20/2015 2:20,2.004,11.569,11.461,11.634,11.822,11.944,11.496,10.105,7.809,6.73,5.384,3.783
6/20/2015 2:30,2.031,11.49,11.329,11.478,11.584,11.725,11.1,9.575,7.513,6.614,5.472,3.789
6/20/2015 2:40,1.986,11.539,11.597,11.787,11.964,12.143,11.529,9.95,7.893,7.203,5.964,4.007
6/20/2015 2:50,1.995,12.138,12.255,12.425,12.588,12.724,11.876,10.009,7.8,6.866,5.737,4.036
6/20/2015 3:00,2.06,12.927,13.05,13.169,13.181,12.66,11.041,9.581,7.579,6.718,5.519,3.739
6/20/2015 3:10,2.035,12.62,12.682,12.762,12.756,12.333,11.101,9.73,7.669,6.704,5.309,4.019
6/20/2015 3:20,2.155,12.328,12.394,12.445,12.444,12.166,10.79,9.542,7.647,6.587,5.459,3.894
